x,y,u,v,S
11.020965,-14.653139,0.965227,-0.001339,5.264368
11.020965,-14.312067,0.965365,-0.001829,5.344237
10.469917,-13.355933,0.917190,-0.002046,5.404605
11.020965,-13.808338,0.965630,-0.002531,5.465667
11.020965,-13.477866,0.965773,-0.002660,5.547196
11.020965,-13.151742,0.965833,-0.002811,5.628762
11.020965,-12.830024,0.965885,-0.003197,5.710717
10.469917,-11.961942,0.917618,-0.002971,5.772387
11.020965,-12.355823,0.966057,-0.003138,5.834830
11.020965,-12.045343,0.966363,-0.003470,5.919051
11.020965,-11.739440,0.966661,-0.003581,6.003384
11.020965,-11.438154,0.966975,-0.003321,6.087868
11.020965,-11.141520,0.967282,-0.002818,6.172269
11.020965,-10.849575,0.967611,-0.002690,6.256691
11.020965,-10.562347,0.967976,-0.003086,6.341114
11.217768,-10.392561,0.985695,-0.003581,6.445888
11.020965,-9.865084,0.968927,-0.004000,6.550725
11.020965,-9.594554,0.969315,-0.004325,6.633655
11.020965,-9.328835,0.969678,-0.004659,6.715698
11.020965,-9.067935,0.969936,-0.004699,6.796172
11.217768,-8.905084,0.987521,-0.004638,6.894889
11.020965,-8.436820,0.970498,-0.004594,6.992372
11.217768,-8.278067,0.988230,-0.004945,7.088507
11.020965,-7.835893,0.971276,-0.004864,7.182657
11.217768,-7.681739,0.989125,-0.004733,7.275275
11.020965,-7.265046,0.972233,-0.004103,7.365413
11.217768,-7.115919,0.989971,-0.003385,7.452187
11.217768,-6.790945,0.990475,-0.002651,7.553312
11.217768,-6.476752,0.990977,-0.002054,7.650434
11.217768,-6.173230,0.991496,-0.001330,7.743541
11.217768,-5.880256,0.992092,-0.000493,7.833011
11.217768,-5.597687,0.992684,0.000362,7.918138
11.318829,-5.328862,1.002255,0.001492,8.011315
11.217768,-4.977890,0.993847,0.003069,8.098105
11.318829,-4.730718,1.003244,0.005528,8.178078
11.318829,-4.412659,1.003595,0.009625,8.261401
11.318829,-4.111166,1.003724,0.015828,8.336004
11.380344,-3.811972,1.008879,0.026643,8.408987
11.318829,-3.490070,1.002231,0.042040,8.468881
11.380344,-3.225043,1.005126,0.064153,8.514789
11.421728,-2.911566,1.002782,0.098898,8.548812
11.380344,-2.599620,0.988564,0.138454,8.551110
11.451472,-2.309918,0.980417,0.172336,8.521130
11.421728,-1.996536,0.986165,0.190266,8.662004
11.473882,-1.696933,0.994231,0.226798,8.792123
11.451472,-1.382200,0.889190,0.244142,7.994199
11.473882,-1.085135,0.878418,0.308950,8.079467
11.473882,-0.769315,0.765021,0.239905,6.972003
11.473882,-0.453699,0.685174,0.150830,6.109800
11.451472,-0.157500,0.655500,-0.067821,5.754168
11.473882,0.453699,0.523271,0.089583,4.623280
11.473882,0.769315,0.706586,0.024700,6.148166
11.473882,1.085141,0.851081,-0.092182,7.427789
11.451472,1.382309,0.965458,-0.193804,8.537083
11.473882,1.697441,0.980229,-0.170796,8.578483
11.421728,1.997777,0.946663,-0.117926,8.227422
11.421728,2.281354,0.946220,-0.083143,8.155218
11.421728,2.586530,0.944716,-0.042581,8.075148
11.421728,2.916721,0.956221,-0.019140,8.113259
11.380344,3.231916,0.965548,-0.012217,8.162263
11.318829,3.498474,0.967977,-0.007628,8.170794
11.380344,3.822120,0.980309,-0.003993,8.165887
11.318829,4.123032,0.981119,-0.001765,8.144524
11.318829,4.426153,0.985214,-0.000829,8.106450
11.217768,4.662654,0.979000,-0.000416,8.058807
11.318829,4.996857,0.989712,-0.000064,7.999140
11.217768,5.254482,0.982323,0.000502,7.930013
11.318829,5.621143,0.992285,0.001177,7.851752
11.217768,5.900620,0.984251,0.001786,7.765307
11.217768,6.194683,0.984726,0.002457,7.684465
11.217768,6.499232,0.985067,0.003245,7.598225
11.217768,6.814382,0.985259,0.003846,7.506604
11.020965,6.960630,0.968007,0.004068,7.426265
11.217768,7.363448,0.985242,0.004224,7.342433
11.217768,7.707299,0.985246,0.004327,7.239030
11.020965,7.861512,0.967917,0.004273,7.149941
11.217768,8.304574,0.985021,0.004363,7.057495
11.020965,8.463207,0.967396,0.004352,6.961960
11.020965,8.712238,0.967011,0.004371,6.883369
11.217768,9.191748,0.983741,0.004262,6.783246
11.020965,9.355693,0.966079,0.003820,6.682711
11.020965,9.621407,0.965802,0.003403,6.601617
11.020965,9.891866,0.965481,0.003019,6.519522
11.020965,10.167053,0.965176,0.002729,6.436957
11.020965,10.446948,0.964996,0.002551,6.354729
11.217768,10.996570,0.982245,0.002827,6.252902
11.020965,11.167136,0.965070,0.003188,6.151010
11.020965,11.463316,0.965112,0.003330,6.069214
11.020965,11.764078,0.965130,0.003192,5.987181
10.469917,11.392869,0.916836,0.002742,5.925385
11.020965,12.223731,0.965039,0.002653,5.863500
11.020965,12.535779,0.964913,0.002306,5.780869
11.020965,12.852266,0.964722,0.001815,5.698137
11.020965,13.173140,0.964518,0.001329,5.615708
11.020965,13.498352,0.964330,0.000974,5.533845
